,date,deposit_type,rate
509,1990-08-21,定期存款整存整取(五年),11.52
510,1990-08-21,定期存款整存整取(一年),8.64
511,1990-08-21,活期存款(不定期),2.16
512,1990-08-21,零存整取、整存零取、存本取息定期存款(三年),--
513,1990-08-21,零存整取、整存零取、存本取息定期存款(五年),--
514,1990-08-21,零存整取、整存零取、存本取息定期存款(一年),--
515,1990-08-21,通知存款(七天),--
516,1990-08-21,通知存款(一天),--
517,1990-08-21,协定存款(定期),--
518,1990-04-15,定活两便(定期),--
519,1990-04-15,定期存款整存整取(半年),7.74
520,1990-04-15,定期存款整存整取(二年),11.00
521,1990-04-15,定期存款整存整取(三个月),6.30
522,1990-04-15,定期存款整存整取(三年),11.88
523,1990-04-15,定期存款整存整取(五年),13.68
524,1990-04-15,定期存款整存整取(一年),10.08
525,1990-04-15,活期存款(不定期),2.88
526,1990-04-15,零存整取、整存零取、存本取息定期存款(三年),--
527,1990-04-15,零存整取、整存零取、存本取息定期存款(五年),--
528,1990-04-15,零存整取、整存零取、存本取息定期存款(一年),--
529,1990-04-15,通知存款(七天),--
530,1990-04-15,通知存款(一天),--
531,1990-04-15,协定存款(定期),--
532,1989-02-01,定活两便(定期),--
533,1989-02-01,定期存款整存整取(半年),9.00
534,1989-02-01,定期存款整存整取(二年),12.20
535,1989-02-01,定期存款整存整取(三个月),7.56
536,1989-02-01,定期存款整存整取(三年),13.14
537,1989-02-01,定期存款整存整取(五年),14.94
538,1989-02-01,定期存款整存整取(一年),11.34
539,1989-02-01,活期存款(不定期),2.88
540,1989-02-01,零存整取、整存零取、存本取息定期存款(三年),--
541,1989-02-01,零存整取、整存零取、存本取息定期存款(五年),--
542,1989-02-01,零存整取、整存零取、存本取息定期存款(一年),--
543,1989-02-01,通知存款(七天),--
544,1989-02-01,通知存款(一天),--
545,1989-02-01,协定存款(定期),--
